Teste,Fatia,Com ruido,RG,Linear,Spline,Ifanbeam,Iradon 
01,TC 08,0.9089,0.9825,0.9871,0.9871,0.9823,0.9758
02,TC 09,0.9081,0.9860,0.9873,0.9873,0.9863,0.9797
03,TC 13,0.9194,0.9825,0.9873,0.9873,0.9822,0.9759
04,TC 14,0.9192,0.9872,0.9880,0.9880,0.9875,0.9810
05,TC 19,0.9259,0.9803,0.9851,0.9851,0.9800,0.9739
06,TC 20,0.9320,0.9842,0.9851,0.9851,0.9843,0.9782
07,TC 41,0.9233,0.9975,0.9986,0.9986,0.9966,0.9906
08,TC 42,0.9212,0.9978,0.9988,0.9988,0.9971,0.9910
09,TC 46,0.9166,0.9984,0.9993,0.9993,0.9974,0.9914
10,TC 47,0.9164,0.9986,0.9993,0.9993,0.9976,0.9916