Teste,Fatia,Com ruido,RG,Linear,Spline,Ifanbeam,Iradon
01,TC 21,238.2948,31.5995,29.9411,29.9411,37.2768,51.3542
02,TC 22,234.9891,21.3558,38.9969,38.9969,27.4084,41.4535
03,TC 23,234.8073,32.0610,29.7673,29.7673,38.1915,52.6839
04,TC 25,199.4774,33.1960,30.7762,30.7762,39.3480,53.6333
05,TC 26,204.6897,22.7112,40.6940,40.6940,29.0110,43.1698
06,TC 27,201.1009,33.0663,30.0744,30.0744,39.1545,53.4348
07,TC 31,181.1154,28.1515,25.1153,25.1153,34.9300,49.5513
08,TC 32,180.5663,17.7724,30.9380,30.9380,24.9330,39.3343
09,TC 33,181.5357,25.8193,22.7224,22.7224,32.7212,47.3271
10,TC 44,205.2315,45.1169,42.8742,42.8742,51.4794,65.9332
11,TC 45,204.7113,30.7618,59.9419,59.9419,37.1801,51.3259
12,TC 46,198.6690,49.7441,48.0294,48.0294,56.1745,70.1812